UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;São Sebastião do Passé;26/06/2015;BA-F-2929503-13214-20150625;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;42153;0;0;0;0;1;0;70;71;0;200000.0;3;0;100000.0;3;0;250000.0;0;0;0.0;1;0;300000.0;11;1;790000.0;null;;null;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Teodoro Sampaio;06/07/2015;BA-F-2931400-13214-20150615;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;7895;0;0;0;30;0;0;0;0;0;50000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;200000.0;null;null;null;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Salinas da Margarida;05/06/2015;BA-F-2927309-12300-20150529;12300 - Alagamentos;Reconhecido;13465;0;2;0;30;150;0;1100;31;5;1302000.0;2;0;35000.0;6;0;240000.0;0;0;0.0;0;0;0.0;0;0;1336600.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Entre Rios;25/05/2015;BA-F-2910503-13214-20150519;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;39883;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;null;null;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;São Félix;28/05/2015;BA-F-2929008-11321-20150519;11321 - Deslizamentos;Não reconhecido;14099;0;0;0;29;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Madre de Deus;27/05/2015;BA-F-2919926-11321-20150513;11321 - Deslizamentos;Registro;17384;0;0;0;0;30;0;0;25;0;350000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;2;0;2200000.0;null;null;null;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Lauro de Freitas;10/06/2015;BA-F-2919207-12300-20150509;12300 - Alagamentos;Reconhecido;163414;0;9;147;567;3345;0;0;224;0;642000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;30;0;2.418851522E7;;;;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Vera Cruz;03/06/2015;BA-F-2933208-12300-20150501;12300 - Alagamentos;Reconhecido;37587;0;5;0;25;305;0;2755;61;5;2201000.0;1;0;30000.0;8;0;220000.0;0;0;0.0;0;0;0.0;0;0;6096666.0;;;;null;null;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;São Sebastião do Passé;10/06/2015;BA-F-2929503-11321-20150427;11321 - Deslizamentos;Reconhecido;42153;0;0;0;0;0;0;0;2;0;50000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;1;0;40000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Salvador;06/05/2015;BA-F-2927408-11321-20150427;11321 - Deslizamentos;Reconhecido;2676606;15;4;0;257;2889;0;2260;561;43;1.55E7;120;0;2.6175E7;0;0;0.0;0;0;0.0;0;0;0.0;100;0;5200000.0;;;;null;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
