Ministério do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 01/01/2016 Data Final: 01/12/2016 UF: BA
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;Teixeira de Freitas;22/11/2016;BA-F-2931350-12300-20161118;12300 - Alagamentos;Registro;138491;0;0;0;0;80;0;700;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Mansidão;17/03/2016;BA-F-2920452-12300-20160205;12300 - Alagamentos;Registro;12594;0;0;0;165;42;0;0;26;11;256000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;DE 5% A 10%;;;;;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;188000.0;145000.0;0.0;0.0;165000.0
BA;Xique-Xique;04/02/2016;BA-F-2933604-12100-20160204;12100 - Inundações;Registro;45562;0;0;0;4160;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;DE 10% A 20%;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Wanderley;11/02/2016;BA-F-2933455-12100-20160202;12100 - Inundações;Registro;12485;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Carinhanha;03/02/2016;BA-F-2907103-12100-20160129;12100 - Inundações;Não reconhecido;28378;1;0;0;42;45;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Conde;03/02/2016;BA-F-2908606-12100-20160128;12100 - Inundações;Reconhecido;23594;1;2;0;15;1042;0;7175;612;2;1780995.0;0;0;0.0;0;0;0.0;2;0;5000.0;0;0;0.0;10;0;3964900.0;MAIS DE 20%;MAIS DE 20%;MAIS DE 20%;;;470000.0;39000.0;540000.0;350000.0;390000.0;52000.0;0.0;78000.0;0.0;40000.0;0.0;230000.0;700000.0;200000.0;1900000.0;1200000.0
BA;Morpará;04/02/2016;BA-F-2921609-12300-20160128;12300 - Alagamentos;Reconhecido;8285;0;0;0;13;52;0;5812;45;2;600000.0;0;0;0.0;5;1;300000.0;0;1;60000.0;0;0;0.0;10;0;2000000.0;;;;;;292700.0;0.0;12000.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;1342000.0;480000.0;0.0;0.0;0.0
BA;São Félix do Coribe;05/02/2016;BA-F-2929057-12300-20160126;12300 - Alagamentos;Registro;13042;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Santa Rita de Cássia;04/02/2016;BA-F-2928406-12100-20160125;12100 - Inundações;Registro;26261;0;0;60;240;1184;0;27398;356;0;5340000.0;3;0;120000.0;5;0;400000.0;3;0;300000.0;4;0;320000.0;40;0;2000000.0;MAIS DE 20%;;MAIS DE 20%;;;1800000.0;500000.0;250000.0;380000.0;500000.0;30000.0;50000.0;500000.0;400000.0;500000.0;2000000.0;3000000.0;5000000.0;1000000.0;2000000.0;4500000.0
BA;Santa Rita de Cássia;27/01/2016;BA-F-2928406-12300-20160125;12300 - Alagamentos;Reconhecido;26261;0;0;60;240;1184;0;27398;356;0;5340000.0;3;0;120000.0;5;0;400000.0;0;0;300000.0;4;0;320000.0;30;0;2000000.0;MAIS DE 20%;;MAIS DE 20%;;;1800000.0;500000.0;250000.0;380000.0;500000.0;30000.0;50000.0;500000.0;400000.0;500000.0;2000000.0;3000000.0;5000000.0;1000000.0;2000000.0;4500000.0
